"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"John Birch Society","Rexburg","Idaho","","","","","2022"
"John Birch Society","Lincoln County","Montana","","","","","2022"
"John Birch Society","Albany","New York","","","","","2022"
"John Birch Society","Saratoga Springs","New York","","","","","2022"
"John Birch Society","Lancaster","Pennsylvania","","","","","2022"
"John Birch Society","Appleton","Wisconsin","","","Yes","","2022"
"John Birch Society","","Iowa","","","","Yes","2022"
"John Birch Society","","Missouri","","","","Yes","2022"
"John Birch Society","","New Jersey","","","","Yes","2022"
"John Birch Society","","South Carolina","","","","Yes","2022"
"John Birch Society","","Tennessee","","","","Yes","2022"
"Kansas Parents Involved in Education","","Kansas","","","","Yes","2022"
"Kentucky Parents Involved in Education","","Kentucky","","","","Yes","2022"
"Keystone United","","Pennsylvania","Keystone United","Racist Skinhead ","","Yes","2022"
"Kingdom Identity Ministries","Harrison","Arkansas","Kingdom Identity Ministries ","Christian Identity ","Yes","","2022"
"Koschertified?","San Marcos","California","","White Nationalist ","Yes","","2022"
"KrisAnne Hall","Wellborn","Florida","","","","","2022"
"Last Chance Patriots","Dayton","Montana","","Anti-Muslim","Yes","","2022"
"League of the South","","Arkansas","League of the South","Neo-Confederate","","Yes","2022"
"League of the South","","Florida","League of the South","Neo-Confederate","","Yes","2022"
"League of the South","","Georgia","League of the South","Neo-Confederate","","Yes","2022"
"League of the South","","Louisiana","League of the South","Neo-Confederate","","Yes","2022"
"League of the South","","Maryland","League of the South","Neo-Confederate","","Yes","2022"
"League of the South","","North Carolina","League of the South","Neo-Confederate","","Yes","2022"
"League of the South","","Texas","League of the South","Neo-Confederate","","Yes","2022"
"League of the South","","Virginia","League of the South","Neo-Confederate","","Yes","2022"
"League of the South","","Alabama","League of the South","Neo-Confederate","Yes","Yes","2022"
"LewRockwell.com","Auburn","Alabama","","","","","2022"
"Liberty Baptist Church","Rock Falls","Illinois","","Anti-LGBTQ","Yes","","2022"
"Liberty Counsel","Orlando","Florida","Liberty Counsel","Anti-LGBTQ","Yes","","2022"
"Liberty First University","Wellborn","Florida","","","","","2022"
"Liberty Hangout","Auburndale","Florida","","","Yes","","2022"
"Liberty News Network","American Fork","Utah","","","Yes","","2022"
"Liberty RoundTable","American Fork","Utah","","","","","2022"
"Life Force Network","","Arizona","","","Yes","Yes","2022"
"Light Foot Militia, 63rd Battalion","","Washington","","","","Yes","2022"
"Lion of Judah - Jeshurun Lions","Chicago","Illinois","","General Hate ","Yes","","2022"
"Live Up to Freedom","Akron","Ohio","","Anti-Muslim","Yes","","2022"
"Long Island Loud Majority","Lindenhurst","New York","","","Yes","","2022"
"Long Island Mutual Assistance Group","Nassau County","New York","","","Yes","","2022"
"Louisiana Parents Involved in Education","","Louisiana","","","","Yes","2022"
"Loving Liberty Network","Ogden","Utah","","","Yes","","2022"
"Loyal White Knights of the Ku Klux Klan","Pelham","North Carolina","","Ku Klux Klan ","","","2022"
"Loyal White Knights of the Ku Klux Klan","","Virginia","","Ku Klux Klan ","","Yes","2022"
"Luxor Couture","Atlanta","Georgia","","General Hate ","Yes","","2022"
"Madison's Militia","New Lebanon","New York","","","Yes","","2022"
"Maine Parents Involved in Education","","Maine","","","","Yes","2022"
"Mamalitia","San Bernardino","California","","","","","2022"
"Mamalitia","Stockton","California","","","Yes","","2022"
"March of Exodus","Elkton","Maryland","","","Yes","","2022"
"Maryland Parents Involved in Education","","Maryland","","","","Yes","2022"
"Masharah Yasharahla - Government of Israel","Raleigh","North Carolina","","General Hate ","Yes","","2022"
"Mass Resistance","Torrance","California","","Anti-LGBTQ","","","2022"
"Mass Resistance","Coeur D'Alene","Idaho","","Anti-LGBTQ","","","2022"
"Mass Resistance","Gillette","Wyoming","","Anti-LGBTQ","","","2022"
"Mass Resistance","Waltham","Massachusetts","","Anti-LGBTQ","Yes","","2022"
"Mass Resistance","","Colorado","","Anti-LGBTQ","","Yes","2022"
"Mass Resistance","","Texas","","Anti-LGBTQ","","Yes","2022"
"Mass Resistance","","West Virginia","","Anti-LGBTQ","","Yes","2022"
"Massachusetts Parents Involved in Education","","Massachusetts","","","","Yes","2022"
"Maulitia Motorcycle Club","Dauphin","Pennsylvania","","","Yes","","2022"
"Mayhem Solutions Group","Casa Grande","Arizona","","","Yes","","2022"
"Medical Kidnap","Huntsville","Alabama","","","Yes","","2022"
"Melrose Patriots","Melrose","Florida","","","Yes","","2022"
"Michigan Home Guard","","Michigan","","","Yes","Yes","2022"
"Michigan Liberty Militia","","Michigan","","","","Yes","2022"
"Michigan Parents Involved in Education","","Michigan","","","","Yes","2022"
"Minnesota Parents Involved in Education","","Minnesota","","","","Yes","2022"
"Mission to Israel Ministries","Scottsbluff","Nebraska","","Christian Identity ","Yes","","2022"
"Mission: America","Columbus","Ohio","","Anti-LGBTQ","Yes","","2022"
"Mississippi Parents Involved in Education","","Mississippi","","","","Yes","2022"
"Missouri Militia","Kansas City","Missouri","","","","","2022"
"Missouri Parents Involved in Education","","Missouri","","","","Yes","2022"
"Moms for America","Englewood","Ohio","","","Yes","","2022"
"Moms for America Illinois","","Illinois","","","","Yes","2022"
"Moms for Liberty - Adams County, PA Chapter","Adams County","Pennsylvania","","","","","2022"
"Moms for Liberty - Alachua County, FL Chapter","Alachua County","Florida","","","","","2022"
"Moms for Liberty - Alexander County, NC Chapter","Alexander County","North Carolina","","","","","2022"
"Moms for Liberty - Allegheny County, PA Chapter","Allegheny County","Pennsylvania","","","","","2022"
"Moms for Liberty - Allen County, IN Chapter","Allen County","Indiana","","","","","2022"
"Moms for Liberty - Anne Arundel County, MD Chapter","Anne Arundel County","Maryland","","","","","2022"
"Moms for Liberty - Baltimore County, MD Chapter","Baltimore County","Maryland","","","","","2022"
"Moms for Liberty - Bay County, FL Chapter","Bay County","Florida","","","","","2022"
"Moms for Liberty - Beaufort County, SC Chapter","Beaufort County","South Carolina","","","","","2022"
"Moms for Liberty - Bedford County, VA Chapter","Bedford County","Virginia","","","","","2022"
"Moms for Liberty - Benton County, AR Chapter","Benton County","Arkansas","","","","","2022"
"Moms for Liberty - Bergen County, NJ Chapter","Bergen County","New Jersey","","","","","2022"
"Moms for Liberty - Berkeley County, SC Chapter","Berkeley County","South Carolina","","","","","2022"
"Moms for Liberty - Berks County, PA Chapter","Berks County","Pennsylvania","","","","","2022"
"Moms for Liberty - Bernalillo County, NM Chapter","Bernalillo County","New Mexico","","","","","2022"
"Moms for Liberty - Bexar County, TX Chapter","Bexar County","Texas","","","","","2022"
"Moms for Liberty - Blair County, PA Chapter","Blair County","Pennsylvania","","","","","2022"
"Moms for Liberty - Branch County, MI Chapter","Branch County","Michigan","","","","","2022"
"Moms for Liberty - Brevard County, FL Chapter","Brevard County","Florida","","","","","2022"
"Moms for Liberty - Broward County, FL Chapter","Broward County","Florida","","","","","2022"
"Moms for Liberty - Bucks County, PA Chapter","Bucks County","Pennsylvania","","","","","2022"
"Moms for Liberty - Burlington County, NJ Chapter","Burlington County","New Jersey","","","","","2022"
"Moms for Liberty - Cabarrus County, NC Chapter","Cabarrus County","North Carolina","","","","","2022"
"Moms for Liberty - Campbell County, VA Chapter","Campbell County","Virginia","","","","","2022"
"Moms for Liberty - Canadian County, OK Chapter","Canadian County","Oklahoma","","","","","2022"
"Moms for Liberty - Cape May County, NJ Chapter","Cape May County","New Jersey","","","","","2022"
"Moms for Liberty - Carroll County, IA Chapter","Carroll County","Iowa","","","","","2022"
"Moms for Liberty - Carroll County, MD Chapter","Carroll County","Maryland","","","","","2022"
"Moms for Liberty - Cass County, IN Chapter","Cass County","Indiana","","","","","2022"
"Moms for Liberty - Cecil County, MD Chapter","Cecil County","Maryland","","","","","2022"
"Moms for Liberty - Charleston County, SC Chapter","Charleston County","South Carolina","","","","","2022"
"Moms for Liberty - Chatham County, NC Chapter","Chatham County","North Carolina","","","","","2022"
"Moms for Liberty - Chester County, PA Chapter","Chester County","Pennsylvania","","","","","2022"
"Moms for Liberty - Clay County, FL Chapter","Clay County","Florida","","","","","2022"
"Moms for Liberty - Clinton County, MI Chapter","Clinton County","Michigan","","","","","2022"
"Moms for Liberty - Colleton County, SC Chapter","Colleton County","South Carolina","","","","","2022"
"Moms for Liberty - Collier County, FL Chapter","Collier County","Florida","","","","","2022"
"Moms for Liberty - Colusa County, CA Chapter","Colusa County","California","","","","","2022"
"Moms for Liberty - Contra Costa County, CA Chapter","Contra Costa County","California","","","","","2022"
"Moms for Liberty - Converse County, WY Chapter","Converse County","Wyoming","","","","","2022"
"Moms for Liberty - Corpus Christi | Nueces, TX Chapter","Corpus Christi | Nueces","Texas","","","","","2022"
"Moms for Liberty - Craighead County, AR Chapter","Craighead County","Arkansas","","","","","2022"
"Moms for Liberty - Cumberland County, PA Chapter","Cumberland County","Pennsylvania","","","","","2022"
"Moms for Liberty - Dakota County, MN Chapter","Dakota County","Minnesota","","","","","2022"
"Moms for Liberty - Dauphin County, PA Chapter","Dauphin County","Pennsylvania","","","","","2022"
"Moms for Liberty - Davidson County, TN Chapter","Davidson County","Tennessee","","","","","2022"
"Moms for Liberty - Delaware County, OH Chapter","Delaware County","Ohio","","","","","2022"
"Moms for Liberty - Delaware County, PA Chapter","Delaware County","Pennsylvania","","","","","2022"
"Moms for Liberty - Denton County, TX Chapter","Denton County","Texas","","","","","2022"
"Moms for Liberty - Deschutes County, OR Chapter","Deschutes County","Oregon","","","","","2022"
"Moms for Liberty - Dorchester County, SC Chapter","Dorchester County","South Carolina","","","","","2022"
"Moms for Liberty - Douglas County, NE Chapter","Douglas County","Nebraska","","","","","2022"
"Moms for Liberty - Douglas County, OR Chapter","Douglas County","Oregon","","","","","2022"
"Moms for Liberty - Douglas-Chelan County Chapter","Douglas-Chelan County","Washington","","","","","2022"
"Moms for Liberty - DuPage County, IL","DuPage County","Illinois","","","","","2022"
"Moms for Liberty - Dutchess County, NY Chapter","Dutchess County","New York","","","","","2022"
"Moms for LIberty - Duval County, FL Chapter","Duval County","Florida","","","","","2022"
"Moms for Liberty - East Baton Rouge Parish, LA","East Baton Rouge Parish","Louisiana","","","","","2022"
"Moms for Liberty - El Paso County, CO Chapter","El Paso County","Colorado","","","","","2022"
"Moms for Liberty - Erie County, NY Chapter","Erie County","New York","","","","","2022"
"Moms for Liberty - Erie County, PA Chapter","Erie County","Pennsylvania","","","","","2022"
"Moms for Liberty - Fairfax County, VA Chapter","Fairfax County","Virginia","","","","","2022"
"Moms for Liberty - Fairfield County, CT Chapter","Fairfield County","Connecticut","","","","","2022"
"Moms for Liberty - Fauquier County, VA Chapter","Fauquier County","Virginia","","","","","2022"
"Moms for Liberty - Flagler County, FL Chapter","Flagler County","Florida","","","","","2022"
"Moms for Liberty - Florence County, SC Chapter","Florence County","South Carolina","","","","","2022"
"Moms for Liberty - Forsyth County, NC Chapter","Forsyth County","North Carolina","","","","","2022"
"Moms for Liberty - Fort Bend County, TX Chapter","Fort Bend County","Texas","","","","","2022"
"Moms for Liberty - Franklin County, OH Chapter","Franklin County","Ohio","","","","","2022"
"Moms for Liberty - Franklin County, PA Chapter","Franklin County","Pennsylvania","","","","","2022"
"Moms for Liberty - Frederick County, MD Chapter","Frederick County","Maryland","","","","","2022"
"Moms for Liberty - Georgetown County, SC Chapter","Georgetown County","South Carolina","","","","","2022"
"Moms for Liberty - Gillespie County, TX Chapter","Gillespie County","Texas","","","","","2022"
"Moms for Liberty - Grand Traverse County, MI Chapter","Grand Traverse County","Michigan","","","","","2022"
"Moms for Liberty - Gwinnett County, GA Chapter","Gwinnett County","Georgia","","","","","2022"
"Moms for Liberty - Hall County, GA Chapter","Hall County","Georgia","","","","","2022"
"Moms for Liberty - Hamilton County, IN Chapter","Hamilton County","Indiana","","","","","2022"
"Moms for Liberty - Hamilton County, OH Chapter","Hamilton County","Ohio","","","","","2022"
"Moms for Liberty - Hamilton County, TN","Hamilton County","Tennessee","","","","","2022"
"Moms for Liberty - Harford County, MD Chapter","Harford County","Maryland","","","","","2022"
"Moms for Liberty - Harris County, TX Chapter","Harris County","Texas","","","","","2022"
"Moms for Liberty - Hartford County, MD County","Hartford County","Maryland","","","","","2022"
"Moms for Liberty - Hernando County, FL Chapter","Hernando County","Florida","","","","","2022"
"Moms for Liberty - Highlands County, FL Chapter","Highlands County","Florida","","","","","2022"
"Moms for Liberty - Hillsborough County, FL Chapter","Hillsborough County","Florida","","","","","2022"
"Moms for Liberty - Hillsborough County, NH","Hillsborough County","New Hampshire","","","","","2022"
"Moms for Liberty - Honolulu, HI Chapter","Honolulu County","Hawaii","","","","","2022"
"Moms for Liberty - Howard County, IN Chapter","Howard County","Indiana","","","","","2022"
"Moms for Liberty - Hughes County, SD Chapter","Hughes County","South Dakota","","","","","2022"
"Moms for Liberty - Indian River County, FL Chapter","Indian River County","Florida","","","","","2022"
"Moms for Liberty - Iredell County, NC Chapter","Iredell County","North Carolina","","","","","2022"
"Moms for Liberty - Isabella County, MI Chapter","Isabella County","Michigan","","","","","2022"
"Moms for Liberty - Jefferson County, CO Chapter","Jefferson County","Colorado","","","","","2022"
"Moms for Liberty - Johnson County, KS Chapter","Johnson County","Kansas","","","","","2022"
"Moms for Liberty - Kenosha County, WI Chapter","Kenosha County","Wisconsin","","","","","2022"
"Moms for Liberty - Kent County, MD Chapter","Kent County","Maryland","","","","","2022"
"Moms for Liberty - Kent County, MI Chapter","Kent County","Michigan","","","","","2022"
"Moms for Liberty - Kershaw County, SC Chapter","Kershaw County","South Carolina","","","","","2022"
"Moms for Liberty - Kitsap County, WA Chapter","Kitsap County","Washington","","","","","2022"
"Moms for Liberty - Knox County, TN Chapter","Knox County","Tennessee","","","","","2022"
"Moms for Liberty - La Porte County, IN Chapter","La Porte County","Indiana","","","","","2022"
"Moms for Liberty - Lackawanna County, PA Chapter","Lackawanna County","Pennsylvania","","","","","2022"
"Moms for Liberty - Lake County, CA Chapter","Lake County","California","","","","","2022"
"Moms for Liberty - Lake County, IL","Lake County","Illinois","","","","","2022"
"Moms for Liberty - Lancaster County, PA Chapter","Lancaster County","Pennsylvania","","","","","2022"
"Moms for Liberty - Lancaster County, SC Chapter","Lancaster County","South Carolina","","","","","2022"
"Moms for Liberty - Laramie County, WY Chapter","Laramie County","Wyoming","","","","","2022"
"Moms for Liberty - Larimer County, CO Chapter","Larimer County","Colorado","","","","","2022"
"Moms for Liberty - Laurens County, SC Chapter","Laurens County","South Carolina","","","","","2022"
"Moms for Liberty - Lebanon County, PA Chapter","Lebanon County","Pennsylvania","","","","","2022"
"Moms for Liberty - Lehigh County, PA Chapter","Lehigh County","Pennsylvania","","","","","2022"
"Moms for Liberty - Leon County, FL Chapter","Leon County","Florida","","","","","2022"
"Moms for Liberty - Lexington County, SC Chapter","Lexington County","South Carolina","","","","","2022"
"Moms for Liberty - Linn County, IA Chapter","Linn County","Iowa","","","","","2022"
"Moms for Liberty - Livingston County, MI Chapter","Livingston County","Michigan","","","","","2022"
"Moms for Liberty - Lonoke County, AR","Lonoke County","Arkansas","","","","","2022"
"Moms for Liberty - Loudoun County, VA Chapter","Loudoun County","Virginia","","","","","2022"
"Moms for Liberty - Macomb County, MI Chapter","Macomb County","Michigan","","","","","2022"
"Moms for Liberty - Madison County, AL Chapter","Madison County","Alabama","","","","","2022"
"Moms for Liberty - Madison County, MS Chapter","Madison County","Mississippi","","","","","2022"
"Moms for Liberty - Madison County, OH Chapter","Madison County","Ohio","","","","","2022"
"Moms for Liberty - Marion County, FL Chapter","Marion County","Florida","","","","","2022"
"Moms for Liberty - Marlboro County, SC Chapter","Marlboro County","South Carolina","","","","","2022"
"Moms for Liberty - Martin County, FL Chapter","Martin County","Florida","","","","","2022"
"Moms for Liberty - McKean County, PA Chapter","McKean County","Pennsylvania","","","","","2022"
"Moms for Liberty - Mecklenburg, NC County Chapter","Mecklenburg","North Carolina","","","","","2022"
"Moms for Liberty - Medina County, OH Chapter","Medina County","Ohio","","","","","2022"
"Moms for Liberty - Mercer County, NJ Chapter","Mercer County","New Jersey","","","","","2022"
"Moms for Liberty - Miami-Dade County, FL","Miami-Dade County","Florida","","","","","2022"
"Moms for Liberty - Middlesex County, MA Chapter","Middlesex County","Massachusetts","","","","","2022"
"Moms for Liberty - Midland County, MI Chapter","Midland County","Michigan","","","","","2022"
"Moms for Liberty - Minnehaha County, SD Chapter","Minnehaha County","South Dakota","","","","","2022"
"Moms for Liberty - Monmouth County, NJ Chapter","Monmouth County","New Jersey","","","","","2022"
"Moms for Liberty - Monroe County, FL Chapter","Monroe County","Florida","","","","","2022"
"Moms for Liberty - Monroe County, MI Chapter","Monroe County","Michigan","","","","","2022"
"Moms for Liberty - Monroe County, NY Chapter","Monroe County","New York","","","","","2022"
"Moms for Liberty - Monroe County, PA Chapter","Monroe County","Pennsylvania","","","","","2022"
"Moms for Liberty - Montgomery County, PA Chapter","Montgomery County","Pennsylvania","","","","","2022"
"Moms for Liberty - Montgomery County, VA Chapter","Montgomery County","Virginia","","","","","2022"
"Moms for Liberty - Morris County, NJ Chapter","Morris County","New Jersey","","","","","2022"
"Moms for Liberty - Natrona County, WY Chapter","Natrona County","Wyoming","","","","","2022"
"Moms for Liberty - New Castle County, DE Chapter","New Castle County","Delaware","","","","","2022"
"Moms for Liberty - New Hanover County, NC Chapter","New Hanover County","North Carolina","","","","","2022"
"Moms for Liberty - Northampton County, PA Chapter","Northampton County","Pennsylvania","","","","","2022"
"Moms for Liberty - Northumberland County, PA Chapter","Northumberland County","Pennsylvania","","","","","2022"
"Moms for Liberty - Oakland County, MI Chapter","Oakland County","Michigan","","","","","2022"
"Moms for Liberty - Ocean County, NJ Chapter","Ocean County","New Jersey","","","","","2022"
"Moms for Liberty - Oconee County, GA Chapter","Oconee County","Georgia","","","","","2022"
"Moms for Liberty - Oktibbeha County, MS Chapter","Oktibbeha County","Mississippi","","","","","2022"
"Moms for Liberty - Olmsted County, MN Chapter","Olmsted County","Minnesota","","","","","2022"
"Moms for Liberty - Oneida County, NY Chapter","Oneida County","New York","","","","","2022"
"Moms for Liberty - Orange County, CA Chapter","Orange County","California","","","","","2022"
"Moms for Liberty - Orange County, FL Chapter","Orange County","Florida","","","","","2022"
"Moms for Liberty - Orange County, NC Chapter","Orange County","North Carolina","","","","","2022"
"Moms for Liberty - Orange County, NY Chapter","Orange County","New York","","","","","2022"
"Moms for Liberty - Osceola County, FL Chapter","Osceola County","Florida","","","","","2022"
"Moms for Liberty - Otter Tail County, MN Chapter","Otter Tail County","Minnesota","","","","","2022"
"Moms for Liberty - Ozaukee County, WI Chapter","Ozaukee County","Wisconsin","","","","","2022"
"Moms for Liberty - Palm Beach County, FL Chapter","Palm Beach County","Florida","","","","","2022"
"Moms for Liberty - Parker County, TX Chapter","Parker County","Texas","","","","","2022"
"Moms for Liberty - Pasco County, Fl County Chapter","Pasco County","Florida","","","","","2022"
"Moms for Liberty - Pickens County, SC Chapter","Pickens County","South Carolina","","","","","2022"
"Moms for Liberty - Pierce County, WA Chapter","Pierce County","Washington","","","","","2022"
"Moms for Liberty - Pima County, AZ Chapter","Pima County","Arizona","","","","","2022"
"Moms for Liberty - Pinellas County, FL Chapter","Pinellas County","Florida","","","","","2022"
"Moms for Liberty - Placer County, CA Chapter","Placer County","California","","","","","2022"
"Moms for Liberty - Polk County, IA Chapter","Polk County","Iowa","","","","","2022"
"Moms for Liberty - Polk County, WI Chapter","Polk County","Wisconsin","","","","","2022"
"Moms for Liberty - Prince William County, VA Chapter","Prince William County","Virginia","","","","","2022"
"Moms for Liberty - Pulaski County, AR Chapter","Pulaski County","Arkansas","","","","","2022"
"Moms for Liberty - Putnam County, FL Chapter","Putnam County","Florida","","","","","2022"
"Moms for Liberty - Putnam County, NY Chapter","Putnam County","New York","","","","","2022"
"Moms for Liberty - Racine County, WI Chapter","Racine County","Wisconsin","","","","","2022"
"Moms for Liberty - Richland County, SC Chapter","Richland County","South Carolina","","","","","2022"
"Moms for Liberty - Riverside County, CA Chapter","Riverside County","California","","","","","2022"
"Moms for Liberty - Roanoke County, VA Chapter","Roanoke County","Virginia","","","","","2022"
"Moms for Liberty - Rock County, WI Chapter","Rock County","Wisconsin","","","","","2022"
"Moms for Liberty - Rockingham County, NH Chapter","Rockingham County","New Hampshire","","","","","2022"
"Moms for Liberty - San Bernardino County, CA Chapter","San Bernardino County","California","","","","","2022"
"Moms for Liberty - San Luis Obispo County, CA Chapter","San Luis Obispo County","California","","","","","2022"
"Moms for Liberty - Santa Clara County, CA Chapter","Santa Clara County","California","","","","","2022"
"Moms for Liberty - Sarasota County, FL","Sarasota County","Florida","","","","","2022"
"Moms for Liberty - Schenectady County, NY Chapter","Schenectady County","New York","","","","","2022"
"Moms for Liberty - Schuylkill County, PA Chapter","Schuylkill County","Pennsylvania","","","","","2022"
"Moms for Liberty - Seminole County, FL Chapter","Seminole County","Florida","","","","","2022"
"Moms for Liberty - Shelby County, TN Chapter","Shelby County","Tennessee","","","","","2022"
"Moms for Liberty - Snohomish County, WA Chapter","Snohomish County","Washington","","","","","2022"
"Moms for Liberty - Snyder County, PA Chapter","Snyder County","Pennsylvania","","","","","2022"
"Moms for Liberty - Spotsylvania County, VA Chapter","Spotsylvania County","Virginia","","","","","2022"
"Moms for Liberty - St. Charles County, MO Chapter","St. Charles County","Missouri","","","","","2022"
"Moms for Liberty - St. Johns County Chapter","St. Johns County","Florida","","","","","2022"
"Moms for Liberty - St. Louis County, MO Chapter","St. Louis County","Missouri","","","","","2022"
"Moms for Liberty - Stafford County, VA Chapter","Stafford County","Virginia","","","","","2022"
"Moms for Liberty - Stanly County, NC Chapter","Stanly County","North Carolina","","","","","2022"
"Moms for Liberty - Stark County, OH Chapter","Stark County","Ohio","","","","","2022"
"Moms for Liberty - Stephens County, OK Chapter","Stephens County","Oklahoma","","","","","2022"
"Moms for Liberty - Story County, IA Chapter","Story County","Iowa","","","","","2022"
"Moms for Liberty - Summit County, OH Chapter","Summit County","Ohio","","","","","2022"
"Moms for Liberty - Sumner County, TN Chapter","Sumner County","Tennessee","","","","","2022"
"Moms for Liberty - Talbot County, MD County","Talbot County","Maryland","","","","","2022"
"Moms for Liberty - Tarrant County, TX Chapter","Tarrant County","Texas","","","","","2022"
"Moms for Liberty - Tipton County, IN Chapter","Tipton County","Indiana","","","","","2022"
"Moms for Liberty - Transylvania County, NC Chapter","Transylvania County","North Carolina","","","","","2022"
"Moms for Liberty - Travis County, TX Chapter","Travis County","Texas","","","","","2022"
"Moms for Liberty - Tulsa County, OK Chapter","Tulsa County","Oklahoma","","","","","2022"
"Moms for Liberty - Union County, NC Chapter","Union County","North Carolina","","","","","2022"
"Moms for Liberty - Union County, PA Chapter","Union County","Pennsylvania","","","","","2022"
"Moms for Liberty - Volusia County, FL Chapter","Volusia County","Florida","","","","","2022"
"Moms for Liberty - Wake County, NC Chapter","Wake County","North Carolina","","","","","2022"
"Moms for Liberty - Walton County, FL Chapter","Walton County","Florida","","","","","2022"
"Moms for Liberty - Warren County, IA Chapter","Warren County","Iowa","","","","","2022"
"Moms for Liberty - Warrick County, IN Chapter","Warrick County","Indiana","","","","","2022"
"Moms For Liberty - Washington County, AR Chapter","Washington County","Arkansas","","","","","2022"
"Moms for Liberty - Washington County, AR Chapter","Washington County","Arkansas","","","","","2022"
"Moms for Liberty - Washington County, PA Chapter","Washington County","Pennsylvania","","","","","2022"
"Moms for Liberty - Washtenaw County, MI Chapter","Washtenaw County","Michigan","","","","","2022"
"Moms for Liberty - Wayne County, MI Chapter","Wayne County","Michigan","","","","","2022"
"Moms for Liberty - Wayne County, NY Chapter","Wayne County","New York","","","","","2022"
"Moms for Liberty - Westchester County, NY Chapter","Westchester County","New York","","","","","2022"
"Moms for Liberty - Whitman County, WA Chapter","Whitman County","Washington","","","","","2022"
"Moms for Liberty - Williams County, ND Chapter","Williams County","North Dakota","","","","","2022"
"Moms for Liberty - Williamson County, TN Chapter","Williamson County","Tennessee","","","","","2022"
"Moms for Liberty - Williamson County, TX Chapter","Williamson County","Texas","","","","","2022"
"Moms for Liberty - Wilson County, TN Chapter","Wilson County","Tennessee","","","","","2022"
"Moms for Liberty - Wood County, WI Chapter","Wood County","Wisconsin","","","","","2022"
"Moms for Liberty - Wright County, MN Chapter","Wright County","Minnesota","","","","","2022"
"Moms for Liberty - Yellowstone County, MT Chapter","Yellowstone County","Montana","","","","","2022"
"Moms for Liberty - Yolo County, CA Chapter","Yolo County","California","","","","","2022"
"Moms for Liberty - York County, PA Chapter","York County","Pennsylvania","","","","","2022"
"Moms for Liberty - York County, SC Chapter","York County","South Carolina","","","","","2022"
"Mountains of Israel","Houston","Texas","","General Hate ","Yes","","2022"
"MSR Productions","","Nebraska","","Hate Music ","Yes","Yes","2022"
"Nation of Islam","Chicago","Illinois","Nation of Islam","Antisemitism","Yes","","2022"
"Nation of Kings and Priests","Orlando","Florida","","General Hate ","Yes","","2022"
"National Alliance","Mountain City","Tennessee","National Alliance","Neo-Nazi","Yes","","2022"
"National Alliance","","Iowa","National Alliance","Neo-Nazi","","Yes","2022"
"National Alliance","","Pennsylvania","National Alliance","Neo-Nazi","","Yes","2022"
"National Assembly","Riverside","California","","","","","2022"
"National Assembly","Honolulu","Hawaii","","","","","2022"
"National Assembly","Cherokee County","North Carolina","","","","","2022"
"National Assembly","Fairbanks","Alaska","","","Yes","","2022"
"National Assembly","","Arizona","","","","Yes","2022"
"National Assembly","","Florida","","","","Yes","2022"
"National Assembly","","Georgia","","","","Yes","2022"
"National Assembly","","Idaho","","","","Yes","2022"
"National Assembly","","Kentucky","","","","Yes","2022"
"National Assembly","","Missouri","","","","Yes","2022"
"National Assembly","","Montana","","","","Yes","2022"
"National Assembly","","North Carolina","","","","Yes","2022"
"National Assembly","","North Dakota","","","","Yes","2022"
"National Assembly","","Utah","","","","Yes","2022"
"National Assembly","","Virginia","","","","Yes","2022"
"National Assembly","","Michigan","","","Yes","Yes","2022"
"National Constitutional Coalition of Patriotic Americans","Bridgeport","West Virginia","","","Yes","","2022"
"National Constitutional Coalition of Patriotic Americans","","Connecticut","","","","Yes","2022"
"National Constitutional Coalition of Patriotic Americans","","Maine","","","","Yes","2022"
"National Constitutional Coalition of Patriotic Americans","","New Jersey","","","","Yes","2022"
"National Constitutional Coalition of Patriotic Americans","","Pennsylvania","","","","Yes","2022"
"National Constitutional Coalition of Patriotic Americans","","Tennessee","","","","Yes","2022"
"National Justice Party","Dayton","Ohio","","White Nationalist ","Yes","","2022"
"National Liberty Alliance","Hyde Park","New York","National Liberty Alliance","","Yes","","2022"
"National Socialist Charitable Coalition/Global Minority Initiative","","Indiana","","Neo-Nazi","","Yes","2022"
"National Socialist German Workers Party","Lincoln","Nebraska","","Neo-Nazi","Yes","","2022"
"National Socialist Movement","Maricopa","Arizona","National Socialist Movement","Neo-Nazi","","","2022"
"National Socialist Movement","Kissimmee","Florida","National Socialist Movement","Neo-Nazi","Yes","","2022"
"National Socialist Movement","","Indiana","National Socialist Movement","Neo-Nazi","","Yes","2022"
"National Socialist Movement","","Mississippi","National Socialist Movement","Neo-Nazi","","Yes","2022"
"National Socialist Movement","","Montana","National Socialist Movement","Neo-Nazi","","Yes","2022"
"National Socialist Movement","","Nevada","National Socialist Movement","Neo-Nazi","","Yes","2022"
"National Socialist Movement","","Pennsylvania","National Socialist Movement","Neo-Nazi","","Yes","2022"
"National Socialist Movement","","Tennessee","National Socialist Movement","Neo-Nazi","","Yes","2022"
"National Socialist Movement","","Washington","National Socialist Movement","Neo-Nazi","","Yes","2022"
"National Socialist Order","","Colorado","","Neo-Nazi","Yes","Yes","2022"
"National Socialist Resistance Front","","Colorado","","Neo-Nazi","","Yes","2022"
"National Socialist Resistance Front","","North Carolina","","Neo-Nazi","","Yes","2022"
