"year","state","ideology","total"
2006,"Pennsylvania","White Nationalist",4
2006,"Pennsylvania",NA,4
2006,"South Carolina","General Hate",1
2006,"South Carolina","Ku Klux Klan",4
2006,"South Carolina","Neo-Confederate",27
2006,"South Carolina","Neo-Nazi",4
2006,"South Carolina","White Nationalist",5
2006,"South Carolina",NA,2
2006,"Tennessee","Christian Identity",2
2006,"Tennessee","Ku Klux Klan",14
2006,"Tennessee","Neo-Confederate",5
2006,"Tennessee","Neo-Nazi",5
2006,"Tennessee","Racist Skinhead",1
2006,"Tennessee","White Nationalist",6
2006,"Tennessee",NA,2
2006,"Texas","Anti-Immigrant",1
2006,"Texas","Christian Identity",3
2006,"Texas","General Hate",3
2006,"Texas","Hate Music",2
2006,"Texas","Ku Klux Klan",13
2006,"Texas","Neo-Confederate",8
2006,"Texas","Neo-Nazi",8
2006,"Texas","Racist Skinhead",4
2006,"Texas","White Nationalist",3
2006,"Texas",NA,9
2006,"Utah","General Hate",1
2006,"Vermont","Ku Klux Klan",2
2006,"Virginia","Anti-Immigrant",1
2006,"Virginia","Christian Identity",1
2006,"Virginia","Ku Klux Klan",4
2006,"Virginia","Neo-Confederate",5
2006,"Virginia","Neo-Nazi",8
2006,"Virginia","Radical Traditional Catholicism",1
2006,"Virginia","White Nationalist",10
2006,"Virginia",NA,1
2006,"Washington","Christian Identity",1
2006,"Washington","Ku Klux Klan",1
2006,"Washington","Neo-Nazi",8
2006,"Washington","Racist Skinhead",3
2006,"Washington","Radical Traditional Catholicism",1
2006,"Washington","White Nationalist",2
2006,"West Virginia","Hate Music",2
2006,"West Virginia","Ku Klux Klan",3
2006,"West Virginia","Neo-Nazi",3
2006,"West Virginia","Radical Traditional Catholicism",1
2006,"Wisconsin","Christian Identity",1
2006,"Wisconsin","Ku Klux Klan",3
2006,"Wisconsin","Neo-Nazi",5
2006,"Wisconsin","Racist Skinhead",1
2006,"Wisconsin","White Nationalist",1
2006,"Wisconsin",NA,1
2006,"Wyoming","Neo-Nazi",1
2006,"Wyoming","Racist Skinhead",1
2007,"Alabama","Christian Identity",1
2007,"Alabama","Ku Klux Klan",3
2007,"Alabama","Neo-Confederate",7
2007,"Alabama","Neo-Nazi",6
2007,"Alabama","White Nationalist",6
2007,"Alabama",NA,1
2007,"Arizona","Anti-Immigrant",1
2007,"Arizona","Christian Identity",1
2007,"Arizona","General Hate",1
2007,"Arizona","Ku Klux Klan",1
2007,"Arizona","Neo-Nazi",10
2007,"Arizona","Racist Skinhead",2
2007,"Arizona",NA,1
2007,"Arkansas","Christian Identity",4
2007,"Arkansas","General Hate",2
2007,"Arkansas","Hate Music",1
2007,"Arkansas","Ku Klux Klan",3
2007,"Arkansas","Neo-Confederate",3
2007,"Arkansas","Neo-Nazi",2
2007,"Arkansas","Racist Skinhead",1
2007,"Arkansas","White Nationalist",1
2007,"Arkansas",NA,1
2007,"California","Anti-Immigrant",5
2007,"California","Anti-LGBTQ",3
2007,"California","General Hate",9
2007,"California","Hate Music",3
2007,"California","Holocaust Denial",2
2007,"California","Ku Klux Klan",7
2007,"California","Neo-Confederate",1
2007,"California","Neo-Nazi",13
2007,"California","Racist Skinhead",21
2007,"California","Radical Traditional Catholicism",2
2007,"California","White Nationalist",7
2007,"California",NA,5
2007,"Colorado","Anti-Immigrant",1
2007,"Colorado","Anti-LGBTQ",1
2007,"Colorado","Christian Identity",1
2007,"Colorado","General Hate",1
2007,"Colorado","Hate Music",1
2007,"Colorado","Ku Klux Klan",1
2007,"Colorado","Neo-Confederate",1
2007,"Colorado","Neo-Nazi",4
2007,"Colorado",NA,1
2007,"Connecticut","General Hate",1
2007,"Connecticut","Neo-Nazi",1
2007,"Connecticut","Racist Skinhead",1
2007,"Connecticut","White Nationalist",1
2007,"Connecticut",NA,2
2007,"Delaware","Hate Music",1
2007,"Delaware",NA,1
2007,"District of Columbia","Anti-Immigrant",1
2007,"District of Columbia","Anti-LGBTQ",1
2007,"District of Columbia","General Hate",1
2007,"District of Columbia","Holocaust Denial",1
2007,"District of Columbia","White Nationalist",1
2007,"District of Columbia",NA,3
2007,"Florida","Christian Identity",1
2007,"Florida","General Hate",2
2007,"Florida","Ku Klux Klan",4
2007,"Florida","Neo-Confederate",14
2007,"Florida","Neo-Nazi",11
2007,"Florida","Racist Skinhead",6
2007,"Florida","White Nationalist",8
2007,"Florida",NA,3
2007,"Georgia","Anti-LGBTQ",1
2007,"Georgia","Christian Identity",3
2007,"Georgia","Hate Music",1
2007,"Georgia","Ku Klux Klan",7
2007,"Georgia","Neo-Confederate",9
2007,"Georgia","Neo-Nazi",3
2007,"Georgia","Racist Skinhead",1
2007,"Georgia","White Nationalist",8
2007,"Georgia",NA,9
2007,"Idaho","Christian Identity",3
2007,"Idaho","General Hate",1
2007,"Idaho","Holocaust Denial",2
2007,"Idaho","Neo-Nazi",1
2007,"Idaho","White Nationalist",1
2007,"Illinois","Anti-Immigrant",1
2007,"Illinois","Christian Identity",1
2007,"Illinois","General Hate",1
2007,"Illinois","Ku Klux Klan",4
2007,"Illinois","Neo-Nazi",9
2007,"Illinois","Racist Skinhead",2
2007,"Illinois","White Nationalist",3
2007,"Illinois",NA,2
2007,"Indiana","Ku Klux Klan",6
2007,"Indiana","Neo-Nazi",4
2007,"Indiana","Racist Skinhead",2
2007,"Indiana","Radical Traditional Catholicism",2
2007,"Indiana","White Nationalist",3
2007,"Indiana",NA,1
2007,"Iowa","Ku Klux Klan",2
2007,"Iowa","Neo-Nazi",2
2007,"Kansas","Anti-LGBTQ",1
2007,"Kansas","Neo-Nazi",5
2007,"Kansas","Racist Skinhead",1
2007,"Kentucky","Christian Identity",1
2007,"Kentucky","Ku Klux Klan",8
2007,"Kentucky","Neo-Confederate",1
2007,"Kentucky","Neo-Nazi",2
2007,"Kentucky",NA,1
2007,"Louisiana","Christian Identity",1
2007,"Louisiana","Ku Klux Klan",7
2007,"Louisiana","Neo-Confederate",1
2007,"Louisiana","Neo-Nazi",2
2007,"Louisiana","White Nationalist",6
2007,"Louisiana",NA,5
2007,"Maine","White Nationalist",1
2007,"Maryland","Ku Klux Klan",1
2007,"Maryland","Neo-Nazi",3
2007,"Maryland","Racist Skinhead",1
2007,"Maryland","White Nationalist",1
2007,"Maryland",NA,1
2007,"Massachusetts","Anti-LGBTQ",1
2007,"Massachusetts","General Hate",1
2007,"Massachusetts","Neo-Nazi",2
2007,"Massachusetts","Racist Skinhead",1
2007,"Massachusetts","White Nationalist",2
2007,"Massachusetts",NA,2
2007,"Michigan","Christian Identity",2
2007,"Michigan","General Hate",1
2007,"Michigan","Ku Klux Klan",5
2007,"Michigan","Neo-Nazi",11
2007,"Michigan","Racist Skinhead",2
2007,"Michigan","White Nationalist",4
2007,"Michigan",NA,1
2007,"Minnesota","Christian Identity",1
2007,"Minnesota","Neo-Nazi",4
2007,"Minnesota","Radical Traditional Catholicism",1
2007,"Minnesota","White Nationalist",1
2007,"Mississippi","Christian Identity",1
2007,"Mississippi","Ku Klux Klan",11
2007,"Mississippi","Neo-Confederate",1
2007,"Mississippi","Neo-Nazi",2
2007,"Mississippi","White Nationalist",11
2007,"Mississippi",NA,2
2007,"Missouri","Christian Identity",1
2007,"Missouri","Ku Klux Klan",6
2007,"Missouri","Neo-Confederate",8
2007,"Missouri","Neo-Nazi",5
2007,"Missouri","Racist Skinhead",2
2007,"Missouri","White Nationalist",5
2007,"Missouri",NA,2
2007,"Montana","Christian Identity",1
2007,"Montana","Neo-Confederate",1
2007,"Montana","Neo-Nazi",4
2007,"Nebraska","Christian Identity",1
2007,"Nebraska","Ku Klux Klan",1
2007,"Nebraska","Neo-Nazi",1
2007,"Nevada","Anti-Immigrant",1
2007,"Nevada","Ku Klux Klan",1
2007,"Nevada","Neo-Nazi",5
2007,"Nevada","Racist Skinhead",2
2007,"Nevada","White Nationalist",1
2007,"Nevada",NA,1
2007,"New Hampshire","Ku Klux Klan",1
2007,"New Hampshire","Radical Traditional Catholicism",1
2007,"New Hampshire","White Nationalist",2
2007,"New Jersey","Hate Music",1
2007,"New Jersey","Ku Klux Klan",3
2007,"New Jersey","Neo-Nazi",10
2007,"New Jersey","Racist Skinhead",12
2007,"New Jersey","White Nationalist",2
2007,"New Jersey",NA,6
2007,"New Mexico","Neo-Nazi",1
2007,"New Mexico","Racist Skinhead",1
2007,"New York","Anti-Immigrant",1
2007,"New York","General Hate",2
2007,"New York","Hate Music",1
2007,"New York","Holocaust Denial",1
2007,"New York","Ku Klux Klan",2
2007,"New York","Neo-Confederate",1
2007,"New York","Neo-Nazi",5
2007,"New York","Racist Skinhead",2
2007,"New York","Radical Traditional Catholicism",2
2007,"New York","White Nationalist",6
2007,"New York",NA,3
2007,"North Carolina","Christian Identity",2
2007,"North Carolina","Ku Klux Klan",2
2007,"North Carolina","Neo-Confederate",7
2007,"North Carolina","Neo-Nazi",6
2007,"North Carolina","Racist Skinhead",2
2007,"North Carolina","White Nationalist",4
2007,"North Carolina",NA,5
2007,"North Dakota","Neo-Nazi",1
2007,"Ohio","Hate Music",2
2007,"Ohio","Ku Klux Klan",10
2007,"Ohio","Neo-Nazi",10
2007,"Ohio","Racist Skinhead",1
2007,"Ohio","White Nationalist",2
2007,"Ohio",NA,3
2007,"Oklahoma","General Hate",1
2007,"Oklahoma","Ku Klux Klan",6
2007,"Oklahoma","Neo-Confederate",1
2007,"Oklahoma","Neo-Nazi",4
2007,"Oklahoma","White Nationalist",1
2007,"Oregon","Christian Identity",1
2007,"Oregon","General Hate",1
2007,"Oregon","Ku Klux Klan",3
2007,"Oregon","Neo-Nazi",4
2007,"Oregon","Racist Skinhead",2
2007,"Pennsylvania","General Hate",1
2007,"Pennsylvania","Ku Klux Klan",5
2007,"Pennsylvania","Neo-Nazi",5
2007,"Pennsylvania","Racist Skinhead",11
2007,"Pennsylvania","Radical Traditional Catholicism",3
2007,"Pennsylvania","White Nationalist",4
2007,"Pennsylvania",NA,4
2007,"South Carolina","General Hate",1
2007,"South Carolina","Ku Klux Klan",2
2007,"South Carolina","Neo-Confederate",27
2007,"South Carolina","Neo-Nazi",5
2007,"South Carolina","White Nationalist",6
2007,"South Carolina",NA,2
2007,"Tennessee","Christian Identity",3
2007,"Tennessee","Ku Klux Klan",12
2007,"Tennessee","Neo-Confederate",5
2007,"Tennessee","Neo-Nazi",8
2007,"Tennessee","Racist Skinhead",1
2007,"Tennessee","White Nationalist",7
2007,"Tennessee",NA,2
2007,"Texas","Anti-Immigrant",1
2007,"Texas","Christian Identity",3
2007,"Texas","General Hate",4
2007,"Texas","Hate Music",2
2007,"Texas","Holocaust Denial",1
2007,"Texas","Ku Klux Klan",20
2007,"Texas","Neo-Confederate",8
2007,"Texas","Neo-Nazi",12
2007,"Texas","Racist Skinhead",6
2007,"Texas","White Nationalist",3
2007,"Texas",NA,7
2007,"Utah","General Hate",1
2007,"Utah","Neo-Nazi",1
2007,"Vermont","Ku Klux Klan",1
2007,"Virginia","Anti-Immigrant",1
2007,"Virginia","Christian Identity",1
2007,"Virginia","Ku Klux Klan",3
2007,"Virginia","Neo-Confederate",6
2007,"Virginia","Neo-Nazi",8
2007,"Virginia","Racist Skinhead",2
2007,"Virginia","Radical Traditional Catholicism",2
2007,"Virginia","White Nationalist",10
2007,"Virginia",NA,1
2007,"Washington","Anti-LGBTQ",1
2007,"Washington","Christian Identity",1
2007,"Washington","Ku Klux Klan",2
2007,"Washington","Neo-Nazi",9
2007,"Washington","Racist Skinhead",4
2007,"Washington","Radical Traditional Catholicism",1
2007,"Washington","White Nationalist",2
2007,"West Virginia","Hate Music",2
2007,"West Virginia","Ku Klux Klan",1
2007,"West Virginia","Neo-Nazi",3
2007,"West Virginia","White Nationalist",1
2007,"Wisconsin","Christian Identity",1
2007,"Wisconsin","Ku Klux Klan",3
2007,"Wisconsin","Neo-Nazi",6
2007,"Wisconsin","White Nationalist",1
2007,"Wisconsin",NA,1
2007,"Wyoming","Neo-Nazi",1
2007,"Wyoming","Racist Skinhead",1
2008,"Alabama","Christian Identity",1
2008,"Alabama","Ku Klux Klan",12
2008,"Alabama","Neo-Confederate",9
2008,"Alabama","Neo-Nazi",5
2008,"Alabama","White Nationalist",6
2008,"Alabama",NA,3
2008,"Arizona","Anti-Immigrant",1
2008,"Arizona","Christian Identity",1
2008,"Arizona","General Hate",1
2008,"Arizona","Ku Klux Klan",1
2008,"Arizona","Neo-Nazi",10
2008,"Arizona","Racist Skinhead",3
2008,"Arizona","White Nationalist",1
2008,"Arizona",NA,1
2008,"Arkansas","Christian Identity",6
2008,"Arkansas","General Hate",2
2008,"Arkansas","Hate Music",2
2008,"Arkansas","Ku Klux Klan",3
2008,"Arkansas","Neo-Confederate",1
2008,"Arkansas","Neo-Nazi",2
2008,"Arkansas","Racist Skinhead",2
2008,"Arkansas","White Nationalist",1
2008,"Arkansas",NA,1
2008,"California","Anti-Immigrant",3
2008,"California","Anti-LGBTQ",3
2008,"California","General Hate",7
2008,"California","Hate Music",1
2008,"California","Holocaust Denial",2
2008,"California","Ku Klux Klan",7
2008,"California","Neo-Confederate",1
2008,"California","Neo-Nazi",14
2008,"California","Racist Skinhead",32
2008,"California","Radical Traditional Catholicism",2
2008,"California","White Nationalist",6
2008,"California",NA,6
2008,"Colorado","Anti-Immigrant",1
2008,"Colorado","Anti-LGBTQ",1
2008,"Colorado","Christian Identity",1
2008,"Colorado","General Hate",4
2008,"Colorado","Hate Music",1
2008,"Colorado","Neo-Confederate",1
2008,"Colorado","Neo-Nazi",5
2008,"Colorado",NA,1
2008,"Connecticut","Ku Klux Klan",2
2008,"Connecticut","Neo-Nazi",1
2008,"Connecticut","White Nationalist",1
2008,"Connecticut",NA,1
2008,"Delaware","Hate Music",1
2008,"Delaware","Ku Klux Klan",1
2008,"Delaware","Neo-Nazi",2
2008,"District of Columbia","Anti-Immigrant",1
2008,"District of Columbia","Anti-LGBTQ",1
2008,"District of Columbia","General Hate",1
2008,"District of Columbia","Holocaust Denial",1
2008,"District of Columbia",NA,4
2008,"Florida","Christian Identity",2
2008,"Florida","General Hate",2
2008,"Florida","Ku Klux Klan",4
2008,"Florida","Neo-Confederate",12
2008,"Florida","Neo-Nazi",14
2008,"Florida","Racist Skinhead",7
2008,"Florida","White Nationalist",6
2008,"Florida",NA,9
2008,"Georgia","Anti-LGBTQ",1
2008,"Georgia","Christian Identity",3
2008,"Georgia","Hate Music",1
2008,"Georgia","Ku Klux Klan",6
2008,"Georgia","Neo-Confederate",14
2008,"Georgia","Neo-Nazi",3
2008,"Georgia","White Nationalist",7
2008,"Georgia",NA,5
2008,"Idaho","Christian Identity",2
2008,"Idaho","General Hate",1
2008,"Idaho","Holocaust Denial",2
2008,"Idaho","Neo-Nazi",1
2008,"Idaho","White Nationalist",1
2008,"Illinois","Anti-LGBTQ",2
2008,"Illinois","Christian Identity",1
2008,"Illinois","General Hate",1
2008,"Illinois","Ku Klux Klan",4
2008,"Illinois","Neo-Nazi",9
2008,"Illinois","White Nationalist",5
2008,"Illinois",NA,1
2008,"Indiana","Ku Klux Klan",5
2008,"Indiana","Neo-Nazi",4
2008,"Indiana","Racist Skinhead",1
2008,"Indiana","Radical Traditional Catholicism",2
2008,"Indiana","White Nationalist",3
2008,"Indiana",NA,1
2008,"Iowa","Ku Klux Klan",6
2008,"Iowa","Neo-Nazi",2
2008,"Kansas","Anti-LGBTQ",1
2008,"Kansas","Ku Klux Klan",1
2008,"Kansas","Neo-Nazi",5
2008,"Kansas","Racist Skinhead",1
2008,"Kentucky","Christian Identity",1
2008,"Kentucky","Ku Klux Klan",6
2008,"Kentucky","Neo-Confederate",1
2008,"Kentucky","Neo-Nazi",2
2008,"Kentucky","Racist Skinhead",1
2008,"Louisiana","Christian Identity",1
2008,"Louisiana","Ku Klux Klan",7
2008,"Louisiana","Neo-Confederate",1
2008,"Louisiana","Neo-Nazi",1
2008,"Louisiana","Racist Skinhead",1
2008,"Louisiana","White Nationalist",5
2008,"Louisiana",NA,6
2008,"Maine","Neo-Nazi",1
2008,"Maryland","Ku Klux Klan",4
2008,"Maryland","Neo-Nazi",4
2008,"Maryland","Racist Skinhead",1
2008,"Maryland","White Nationalist",2
2008,"Maryland",NA,2
2008,"Massachusetts","Anti-LGBTQ",2
2008,"Massachusetts","General Hate",2
2008,"Massachusetts","Ku Klux Klan",1
2008,"Massachusetts","Neo-Nazi",2
2008,"Massachusetts","White Nationalist",3
2008,"Massachusetts",NA,3
2008,"Michigan","Christian Identity",2
2008,"Michigan","General Hate",1
2008,"Michigan","Ku Klux Klan",3
2008,"Michigan","Neo-Nazi",9
2008,"Michigan","Racist Skinhead",1
2008,"Michigan","White Nationalist",5
2008,"Michigan",NA,2
2008,"Minnesota","Christian Identity",1
2008,"Minnesota","Ku Klux Klan",1
2008,"Minnesota","Neo-Nazi",4
2008,"Minnesota","Radical Traditional Catholicism",1
2008,"Minnesota",NA,1
2008,"Mississippi","Ku Klux Klan",9
2008,"Mississippi","Neo-Confederate",1
2008,"Mississippi","Neo-Nazi",1
2008,"Mississippi","White Nationalist",9
2008,"Mississippi",NA,2
2008,"Missouri","Christian Identity",1
2008,"Missouri","Ku Klux Klan",4
2008,"Missouri","Neo-Confederate",6
2008,"Missouri","Neo-Nazi",6
2008,"Missouri","Racist Skinhead",3
2008,"Missouri","White Nationalist",6
2008,"Missouri",NA,4
2008,"Montana","Christian Identity",1
2008,"Montana","Neo-Confederate",1
2008,"Montana","Neo-Nazi",4
2008,"Nebraska","Christian Identity",1
2008,"Nebraska","Ku Klux Klan",1
2008,"Nebraska","Neo-Nazi",1
2008,"Nebraska",NA,1
2008,"Nevada","Anti-Immigrant",1
2008,"Nevada","Ku Klux Klan",1
2008,"Nevada","Neo-Nazi",5
2008,"Nevada","Racist Skinhead",2
2008,"Nevada","White Nationalist",3
2008,"Nevada",NA,1
2008,"New Hampshire","Neo-Nazi",1
2008,"New Hampshire","Radical Traditional Catholicism",1
2008,"New Hampshire","White Nationalist",1
2008,"New Jersey","Christian Identity",1
2008,"New Jersey","Hate Music",1
2008,"New Jersey","Ku Klux Klan",1
2008,"New Jersey","Neo-Nazi",9
2008,"New Jersey","Racist Skinhead",16
2008,"New Jersey","White Nationalist",2
2008,"New Jersey",NA,10
2008,"New Mexico","Neo-Nazi",1
2008,"New York","Christian Identity",1
2008,"New York","General Hate",3
2008,"New York","Hate Music",1
2008,"New York","Holocaust Denial",1
2008,"New York","Ku Klux Klan",1
2008,"New York","Neo-Nazi",2
2008,"New York","Racist Skinhead",1
2008,"New York","Radical Traditional Catholicism",2
2008,"New York","White Nationalist",5
2008,"New York",NA,7
2008,"North Carolina","Christian Identity",2
2008,"North Carolina","Ku Klux Klan",9
2008,"North Carolina","Neo-Confederate",5
2008,"North Carolina","Neo-Nazi",4
2008,"North Carolina","Racist Skinhead",2
2008,"North Carolina","White Nationalist",1
2008,"North Carolina",NA,7
2008,"North Dakota","Neo-Nazi",1
2008,"Ohio","Hate Music",2
2008,"Ohio","Ku Klux Klan",6
2008,"Ohio","Neo-Nazi",8
2008,"Ohio","Racist Skinhead",3
2008,"Ohio","White Nationalist",1
2008,"Ohio",NA,3
2008,"Oklahoma","General Hate",1
2008,"Oklahoma","Ku Klux Klan",7
2008,"Oklahoma","Neo-Confederate",1
2008,"Oklahoma","Neo-Nazi",3
2008,"Oklahoma","White Nationalist",1
2008,"Oklahoma",NA,6
2008,"Oregon","Christian Identity",1
2008,"Oregon","General Hate",1
2008,"Oregon","Neo-Nazi",1
2008,"Oregon","Racist Skinhead",1
2008,"Oregon","White Nationalist",1
2008,"Oregon",NA,2
2008,"Pennsylvania","General Hate",1
2008,"Pennsylvania","Ku Klux Klan",4
2008,"Pennsylvania","Neo-Nazi",6
2008,"Pennsylvania","Racist Skinhead",11
2008,"Pennsylvania","Radical Traditional Catholicism",3
2008,"Pennsylvania","White Nationalist",3
2008,"Pennsylvania",NA,9
2008,"Rhode Island","Ku Klux Klan",2
2008,"South Carolina","General Hate",1
2008,"South Carolina","Ku Klux Klan",4
2008,"South Carolina","Neo-Confederate",26
2008,"South Carolina","Neo-Nazi",6
2008,"South Carolina","White Nationalist",6
2008,"South Carolina",NA,2
2008,"South Dakota","General Hate",1
2008,"South Dakota","Neo-Nazi",2
2008,"South Dakota","Racist Skinhead",1
2008,"Tennessee","Christian Identity",2
2008,"Tennessee","Ku Klux Klan",20
2008,"Tennessee","Neo-Confederate",3
2008,"Tennessee","Neo-Nazi",3
2008,"Tennessee","Racist Skinhead",1
2008,"Tennessee","White Nationalist",7
2008,"Tennessee",NA,2
2008,"Texas","Anti-Immigrant",1
2008,"Texas","Christian Identity",3
2008,"Texas","General Hate",3
2008,"Texas","Hate Music",2
2008,"Texas","Holocaust Denial",1
2008,"Texas","Ku Klux Klan",24
2008,"Texas","Neo-Confederate",6
2008,"Texas","Neo-Nazi",10
2008,"Texas","Racist Skinhead",5
2008,"Texas","White Nationalist",4
2008,"Texas",NA,7
2008,"Utah","General Hate",1
2008,"Utah","Ku Klux Klan",1
2008,"Utah","Neo-Nazi",1
2008,"Utah","Racist Skinhead",1
2008,"Utah","White Nationalist",1
2008,"Vermont","Ku Klux Klan",2
2008,"Virginia","Anti-Immigrant",1
2008,"Virginia","Christian Identity",1
2008,"Virginia","Ku Klux Klan",3
2008,"Virginia","Neo-Confederate",4
2008,"Virginia","Neo-Nazi",6
2008,"Virginia","Radical Traditional Catholicism",2
2008,"Virginia","White Nationalist",7
2008,"Virginia",NA,2
2008,"Washington","Anti-LGBTQ",1
2008,"Washington","Christian Identity",2
2008,"Washington","Ku Klux Klan",2
2008,"Washington","Neo-Nazi",3
2008,"Washington","Racist Skinhead",1
2008,"Washington","Radical Traditional Catholicism",1
2008,"Washington","White Nationalist",2
2008,"West Virginia","Hate Music",2
2008,"West Virginia","Ku Klux Klan",6
2008,"West Virginia","Neo-Nazi",6
2008,"Wisconsin","Christian Identity",1
2008,"Wisconsin","Ku Klux Klan",2
2008,"Wisconsin","Neo-Nazi",6
2008,"Wisconsin",NA,1
2008,"Wyoming","Ku Klux Klan",2
2009,"Alabama","Christian Identity",1
2009,"Alabama","Ku Klux Klan",6
2009,"Alabama","Neo-Confederate",9
2009,"Alabama","Neo-Nazi",2
2009,"Alabama","Racist Skinhead",3
2009,"Alabama","White Nationalist",6
2009,"Alabama",NA,5
2009,"Alaska","Racist Skinhead",1
2009,"Arizona","Anti-Immigrant",2
2009,"Arizona","Anti-LGBTQ",1
2009,"Arizona","General Hate",2
2009,"Arizona","Ku Klux Klan",1
2009,"Arizona","Neo-Nazi",3
2009,"Arizona","Racist Skinhead",5
2009,"Arizona","White Nationalist",1
2009,"Arizona",NA,1
2009,"Arkansas","Christian Identity",3
2009,"Arkansas","General Hate",5
2009,"Arkansas","Hate Music",3
2009,"Arkansas","Ku Klux Klan",4
2009,"Arkansas","Neo-Confederate",3
2009,"Arkansas","Neo-Nazi",2
2009,"Arkansas","Racist Skinhead",2
2009,"Arkansas","White Nationalist",1
2009,"Arkansas",NA,1
2009,"California","Anti-Immigrant",3
2009,"California","Anti-LGBTQ",3
2009,"California","Christian Identity",1
2009,"California","General Hate",6
2009,"California","Holocaust Denial",3
2009,"California","Ku Klux Klan",2
2009,"California","Neo-Confederate",1
2009,"California","Neo-Nazi",9
2009,"California","Racist Skinhead",12
2009,"California","Radical Traditional Catholicism",2
2009,"California","White Nationalist",11
2009,"California",NA,7
2009,"Colorado","Anti-Immigrant",1
2009,"Colorado","Anti-LGBTQ",1
2009,"Colorado","Christian Identity",2
2009,"Colorado","General Hate",4
2009,"Colorado","Hate Music",1
2009,"Colorado","Ku Klux Klan",2
2009,"Colorado","Neo-Nazi",4
2009,"Colorado","White Nationalist",1
2009,"Colorado",NA,1
2009,"Connecticut","Ku Klux Klan",2
2009,"Connecticut","Neo-Nazi",1
2009,"Connecticut","White Nationalist",2
2009,"Connecticut",NA,1
2009,"Delaware","Hate Music",1
2009,"Delaware","Ku Klux Klan",1
2009,"Delaware","Neo-Nazi",2
2009,"District of Columbia","Anti-Immigrant",1
2009,"District of Columbia","Anti-LGBTQ",1
2009,"District of Columbia","General Hate",1
2009,"District of Columbia","Holocaust Denial",1
2009,"District of Columbia","White Nationalist",2
2009,"District of Columbia",NA,3
2009,"Florida","Christian Identity",2
2009,"Florida","General Hate",2
2009,"Florida","Ku Klux Klan",7
2009,"Florida","Neo-Confederate",8
2009,"Florida","Neo-Nazi",7
2009,"Florida","Racist Skinhead",10
2009,"Florida","White Nationalist",4
2009,"Florida",NA,11
2009,"Georgia","Anti-LGBTQ",1
2009,"Georgia","Christian Identity",2
2009,"Georgia","Ku Klux Klan",8
2009,"Georgia","Neo-Confederate",7
2009,"Georgia","Neo-Nazi",4
2009,"Georgia","Racist Skinhead",1
2009,"Georgia","White Nationalist",7
2009,"Georgia",NA,7
2009,"Hawaii","Racist Skinhead",1
2009,"Idaho","Christian Identity",1
2009,"Idaho","General Hate",1
2009,"Idaho","Holocaust Denial",2
2009,"Idaho","Neo-Nazi",3
2009,"Idaho","Racist Skinhead",1
2009,"Idaho","White Nationalist",1
2009,"Illinois","Anti-LGBTQ",1
2009,"Illinois","Christian Identity",1
2009,"Illinois","General Hate",1
2009,"Illinois","Ku Klux Klan",6
2009,"Illinois","Neo-Nazi",6
2009,"Illinois","Racist Skinhead",4
2009,"Illinois","White Nationalist",4
2009,"Illinois",NA,5
2009,"Indiana","Ku Klux Klan",5
2009,"Indiana","Neo-Nazi",2
2009,"Indiana","Racist Skinhead",3
2009,"Indiana","Radical Traditional Catholicism",2
2009,"Indiana","White Nationalist",4
2009,"Indiana",NA,1
2009,"Iowa","Ku Klux Klan",12
2009,"Iowa","Neo-Nazi",4
2009,"Iowa","White Nationalist",1
2009,"Kansas","Anti-LGBTQ",1
2009,"Kansas","Ku Klux Klan",1
2009,"Kansas","Neo-Nazi",3
2009,"Kansas","Racist Skinhead",1
2009,"Kentucky","Christian Identity",1
2009,"Kentucky","Ku Klux Klan",4
2009,"Kentucky","Neo-Confederate",1
2009,"Kentucky","Neo-Nazi",1
2009,"Kentucky","Racist Skinhead",1
2009,"Kentucky",NA,2
2009,"Louisiana","Christian Identity",2
2009,"Louisiana","General Hate",2
2009,"Louisiana","Ku Klux Klan",9
2009,"Louisiana","Neo-Confederate",1
2009,"Louisiana","Neo-Nazi",2
2009,"Louisiana","Racist Skinhead",1
2009,"Louisiana","White Nationalist",6
2009,"Louisiana",NA,5
2009,"Maine","Neo-Nazi",1
2009,"Maine","White Nationalist",1
2009,"Maryland","Ku Klux Klan",3
2009,"Maryland","Neo-Confederate",1
2009,"Maryland","Neo-Nazi",4
2009,"Maryland","Racist Skinhead",1
2009,"Maryland","White Nationalist",2
2009,"Maryland",NA,2
2009,"Massachusetts","Anti-LGBTQ",3
2009,"Massachusetts","General Hate",1
2009,"Massachusetts","Ku Klux Klan",2
2009,"Massachusetts","Neo-Nazi",2
2009,"Massachusetts","Racist Skinhead",2
2009,"Massachusetts","White Nationalist",3
2009,"Massachusetts",NA,3
2009,"Michigan","Christian Identity",2
2009,"Michigan","General Hate",1
2009,"Michigan","Ku Klux Klan",5
2009,"Michigan","Neo-Nazi",5
2009,"Michigan","Racist Skinhead",4
2009,"Michigan","White Nationalist",4
2009,"Michigan",NA,5
2009,"Minnesota","Christian Identity",1
2009,"Minnesota","Ku Klux Klan",1
2009,"Minnesota","Neo-Nazi",3
2009,"Minnesota","Racist Skinhead",2
2009,"Minnesota","Radical Traditional Catholicism",1
2009,"Minnesota",NA,1
2009,"Mississippi","Ku Klux Klan",9
2009,"Mississippi","Neo-Confederate",2
2009,"Mississippi","Neo-Nazi",1
2009,"Mississippi","Racist Skinhead",1
2009,"Mississippi","White Nationalist",10
2009,"Mississippi",NA,2
